Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
16:45:41.0,2.176,1347.625
16:45:42.0,98.5,1366.183
16:45:43.0,99.0,1375.742
16:45:44.0,98.5,1371.125
16:45:45.0,100.0,1377.488
16:45:46.0,100.0,1436.773
16:45:47.0,99.5,1492.23
16:45:48.0,100.0,1540.703
16:45:49.0,99.499,1583.41
16:45:50.0,99.009,1651.292
16:45:51.0,98.994,1693.097
16:45:52.0,99.5,1704.027
16:45:53.0,100.0,1712.363
16:45:54.0,99.5,1718.125
16:45:55.0,99.0,1715.14
16:45:56.0,99.497,1713.128
16:45:57.0,99.502,1722.886
16:45:58.0,99.5,1723.304
16:45:59.0,99.5,1716.476
16:46:00.0,99.502,1713.402
16:46:01.0,99.5,1705.121
16:46:02.0,98.5,1696.589
16:46:03.0,99.497,1700.269
16:46:04.0,99.004,1704.632
16:46:05.0,100.0,1710.644
16:46:06.0,99.5,1717.937
16:46:07.0,98.507,1712.656
16:46:08.0,99.0,1707.265
16:46:09.0,99.5,1697.765
16:46:10.0,99.497,1698.691
16:46:11.0,99.0,1698.617
16:46:12.0,99.502,1704.773
16:46:13.0,99.502,1713.078
16:46:14.0,98.994,1705.378
16:46:15.0,100.0,1702.707
16:46:16.0,99.004,1700.398
16:46:17.0,100.0,1695.347
16:46:18.0,99.0,1690.617
16:46:19.0,98.0,1694.839
16:46:20.0,99.004,1703.679
16:46:21.0,99.0,1705.085
16:46:22.0,98.994,1700.921
16:46:23.0,99.5,1701.878
16:46:24.0,98.507,1701.976
16:46:25.0,98.994,1700.98
16:46:26.0,99.004,1695.687
16:46:27.0,99.5,1699.89
16:46:28.0,98.994,1707.851
16:46:29.0,100.0,1704.398
16:46:30.0,99.5,1702.621
16:46:31.0,100.0,1705.718
16:46:32.0,99.0,1710.218
16:46:33.0,98.009,1708.75
16:46:34.0,99.497,1701.683
16:46:35.0,99.004,1702.46
16:46:36.0,99.497,1703.41
16:46:37.0,99.0,1705.128
16:46:38.0,99.5,1703.277
16:46:39.0,98.507,1703.453
16:46:40.0,99.5,1702.785
16:46:41.0,99.5,1700.058
16:46:42.0,100.0,1691.906
