Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,834,6648,6612,7823,9840,10936,2362,11752,0.000%,13.27117,272.07,4.94
TOTAL,834,6648,6612,7823,9840,10936,2362,11752,0.000%,13.27117,272.07,4.94
