Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
16:57:08.0,1.726,1067.304
16:57:09.0,1.01,1066.703
16:57:10.0,1.005,1067.855
16:57:11.0,49.494,1094.0
16:57:12.0,53.03,1092.742
16:57:13.0,46.733,1138.214
16:57:14.0,99.0,1222.464
16:57:15.0,99.5,1287.66
16:57:16.0,100.0,1348.066
16:57:17.0,99.497,1360.312
16:57:18.0,99.5,1398.425
16:57:19.0,100.0,1396.042
16:57:20.0,100.0,1414.246
16:57:21.0,99.004,1408.285
16:57:22.0,99.5,1405.968
16:57:23.0,99.5,1408.667
16:57:24.0,99.502,1401.234
16:57:25.0,100.0,1392.089
16:57:26.0,99.497,1387.382
16:57:27.0,99.5,1388.117
16:57:28.0,99.5,1387.859
16:57:29.0,99.5,1375.984
16:57:30.0,99.502,1370.039
16:57:31.0,99.5,1366.207
16:57:32.0,98.994,1364.976
16:57:33.0,99.502,1354.835
16:57:34.0,99.502,1350.332
16:57:35.0,98.994,1346.847
16:57:36.0,100.0,1342.652
16:57:37.0,99.0,1332.777
16:57:38.0,99.5,1331.398
16:57:39.0,99.5,1330.007
16:57:40.0,100.0,1331.015
16:57:41.0,100.0,1331.039
16:57:42.0,99.0,1318.574
16:57:43.0,99.5,1320.871
16:57:44.0,99.502,1328.101
16:57:45.0,99.497,1324.972
16:57:46.0,99.502,1320.621
16:57:47.0,100.0,1323.503
16:57:48.0,99.0,1321.964
16:57:49.0,99.5,1317.0
16:57:50.0,99.5,1320.699
16:57:51.0,100.0,1324.136
16:57:52.0,99.5,1318.984
16:57:53.0,99.497,1319.468
16:57:54.0,98.514,1324.738
16:57:55.0,96.5,1321.894
16:57:56.0,96.0,1324.386
16:57:57.0,96.0,1321.406
16:57:58.0,96.019,1323.5
16:57:59.0,97.474,1326.089
16:58:00.0,99.502,1322.718
16:58:01.0,99.5,1323.292
16:58:02.0,99.5,1321.246
16:58:03.0,99.004,1322.257
16:58:04.0,99.5,1320.816
16:58:05.0,99.497,1327.015
16:58:06.0,99.0,1320.972
16:58:07.0,98.009,1323.886
