Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
13:05:50.0,1.011,1150.191
13:05:51.0,7.575,1151.527
13:05:52.0,1.515,1152.433
13:05:53.0,61.0,1175.125
13:05:54.0,46.231,1177.902
13:05:55.0,5.102,1190.589
13:05:56.0,7.537,1218.949
13:05:57.0,49.0,1291.957
13:05:58.0,99.497,1398.214
13:05:59.0,100.0,1551.605
13:06:00.0,99.5,1681.933
13:06:01.0,100.0,1736.742
13:06:02.0,99.5,1758.277
13:06:03.0,99.0,1770.457
13:06:04.0,98.492,1785.39
13:06:05.0,99.004,1759.492
13:06:06.0,98.0,1760.207
13:06:07.0,99.497,1785.957
13:06:08.0,99.502,1830.339
13:06:09.0,100.0,1853.539
13:06:10.0,100.0,1863.101
13:06:11.0,98.5,1853.613
13:06:13.0,98.994,1838.843
13:06:14.0,98.507,1807.183
13:06:15.0,99.0,1792.421
13:06:16.0,100.0,1803.656
13:06:17.0,99.497,1821.554
13:06:18.0,100.0,1834.464
13:06:19.0,99.5,1835.457
13:06:20.0,98.994,1825.843
13:06:21.0,99.0,1797.832
13:06:22.0,99.004,1789.8
13:06:23.0,99.0,1783.257
13:06:24.0,100.0,1794.664
13:06:25.0,99.5,1809.925
13:06:26.0,100.0,1814.667
13:06:27.0,99.5,1801.933
13:06:28.0,98.5,1779.785
13:06:29.0,99.0,1774.476
13:06:30.0,99.004,1767.816
13:06:31.0,99.497,1771.347
13:06:32.0,98.507,1784.96
13:06:33.0,99.502,1795.257
13:06:34.0,98.989,1789.917
13:06:35.0,99.502,1786.89
13:06:36.0,98.5,1779.398
13:06:37.0,98.009,1765.656
13:06:38.0,98.994,1769.218
13:06:39.0,97.0,1782.812
13:06:40.0,99.502,1782.339
13:06:41.0,99.0,1785.886
13:06:42.0,98.994,1785.972
13:06:43.0,98.507,1778.097
13:06:44.0,99.0,1763.417
13:06:45.0,98.994,1769.027
13:06:46.0,99.502,1771.074
13:06:47.0,99.0,1780.171
13:06:48.0,100.0,1787.351
13:06:49.0,99.502,1784.496
13:06:50.0,98.994,1776.093
13:06:51.0,98.507,1772.48
13:06:52.0,100.0,1754.242
13:06:53.0,99.502,1723.359
