Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,785,2316,2238,2424,2802,4937,493,6281,0.000%,12.86716,263.90,4.79
TOTAL,785,2316,2238,2424,2802,4937,493,6281,0.000%,12.86716,263.90,4.79
