Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,768,3173,3026,3254,5441,7816,459,8648,0.000%,12.50081,256.39,4.65
TOTAL,768,3173,3026,3254,5441,7816,459,8648,0.000%,12.50081,256.39,4.65
