Elapsed time,10.42.0.1 CPU,10.42.0.1 Memory unit=mb:used
12:59:15.0,4.012,1307.976
12:59:16.0,100.0,1317.273
12:59:17.0,24.0,1314.66
12:59:18.0,100.0,1350.585
12:59:19.0,100.0,1362.449
12:59:20.0,99.5,1375.292
12:59:21.0,99.0,1466.921
12:59:22.0,99.502,1541.964
12:59:23.0,100.0,1597.343
12:59:24.0,100.0,1632.07
12:59:25.0,99.502,1631.515
12:59:26.0,98.994,1616.468
12:59:27.0,99.502,1633.054
12:59:28.0,99.497,1643.257
12:59:29.0,99.5,1649.214
12:59:30.0,100.0,1662.386
12:59:31.0,99.5,1665.0
12:59:32.0,99.5,1655.691
12:59:33.0,99.0,1638.57
12:59:34.0,100.0,1641.492
12:59:35.0,100.0,1641.445
12:59:36.0,99.502,1652.457
12:59:37.0,99.5,1657.257
12:59:38.0,99.5,1647.652
12:59:39.0,99.0,1631.875
12:59:40.0,99.5,1629.648
12:59:41.0,99.497,1629.308
12:59:42.0,99.004,1638.292
12:59:43.0,99.5,1640.21
12:59:44.0,98.507,1633.968
12:59:45.0,98.994,1636.96
12:59:46.0,99.5,1635.277
12:59:47.0,99.5,1639.097
12:59:48.0,99.0,1642.273
12:59:49.0,99.004,1635.945
12:59:50.0,99.494,1637.269
12:59:51.0,99.004,1635.851
12:59:52.0,99.5,1633.664
12:59:53.0,98.5,1638.726
12:59:54.0,99.5,1641.449
12:59:55.0,99.0,1639.546
12:59:56.0,99.497,1631.808
12:59:57.0,98.507,1639.019
12:59:58.0,99.5,1642.035
12:59:59.0,99.004,1647.976
13:00:00.0,99.494,1646.898
13:00:01.0,99.009,1640.976
13:00:02.0,99.0,1629.894
13:00:03.0,100.0,1628.253
13:00:04.0,99.004,1641.656
13:00:05.0,99.5,1641.14
13:00:06.0,99.5,1642.792
13:00:07.0,100.0,1642.875
13:00:08.0,98.0,1638.066
13:00:09.0,99.0,1632.875
13:00:10.0,98.5,1635.605
13:00:11.0,99.5,1640.73
13:00:12.0,99.0,1642.839
13:00:13.0,99.004,1636.531
13:00:14.0,100.0,1641.632
13:00:15.0,100.0,1633.523
13:00:16.0,100.0,1624.253
