Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,991,1216,1210,1424,1463,2817,117,3232,0.000%,16.32835,334.87,6.08
TOTAL,991,1216,1210,1424,1463,2817,117,3232,0.000%,16.32835,334.87,6.08
