Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,992,3069,3011,3387,3688,7501,136,7970,0.000%,16.12615,330.73,6.00
TOTAL,992,3069,3011,3387,3688,7501,136,7970,0.000%,16.12615,330.73,6.00
