Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,998,3670,3559,4063,4892,8240,483,8599,0.000%,16.14625,331.14,6.01
TOTAL,998,3670,3559,4063,4892,8240,483,8599,0.000%,16.14625,331.14,6.01
