Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,991,1828,1813,2099,2144,3899,110,5981,0.000%,16.26377,333.54,6.05
TOTAL,991,1828,1813,2099,2144,3899,110,5981,0.000%,16.26377,333.54,6.05
