Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1008,6125,6092,6895,8475,10005,2398,11212,0.000%,15.99746,328.09,5.95
TOTAL,1008,6125,6092,6895,8475,10005,2398,11212,0.000%,15.99746,328.09,5.95
