Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1012,5493,5455,5971,6902,8912,2812,9136,0.000%,16.10337,330.26,5.99
TOTAL,1012,5493,5455,5971,6902,8912,2812,9136,0.000%,16.10337,330.26,5.99
