Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,987,2459,2418,2699,2835,5279,154,7334,0.000%,16.14830,331.18,6.01
TOTAL,987,2459,2418,2699,2835,5279,154,7334,0.000%,16.14830,331.18,6.01
