Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,998,4306,4219,4755,5709,9088,115,9734,0.000%,16.04037,328.97,5.97
TOTAL,998,4306,4219,4755,5709,9088,115,9734,0.000%,16.04037,328.97,5.97
