Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,1010,4870,4842,5318,5916,7422,2456,8113,0.000%,16.18123,331.86,6.02
TOTAL,1010,4870,4842,5318,5916,7422,2456,8113,0.000%,16.18123,331.86,6.02
