Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,895,6931,6931,8296,11964,13533,371,13998,0.000%,14.15355,292.04,5.27
TOTAL,895,6931,6931,8296,11964,13533,371,13998,0.000%,14.15355,292.04,5.27
