Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,846,712,692,863,901,2485,146,3276,0.000%,13.96339,288.11,5.20
TOTAL,846,712,692,863,901,2485,146,3276,0.000%,13.96339,288.11,5.20
