Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,883,2077,2079,2195,2252,4168,244,5204,0.000%,14.35749,296.25,5.34
TOTAL,883,2077,2079,2195,2252,4168,244,5204,0.000%,14.35749,296.25,5.34
