Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,881,4159,4164,4384,5508,8379,190,8668,0.000%,14.22666,293.55,5.29
TOTAL,881,4159,4164,4384,5508,8379,190,8668,0.000%,14.22666,293.55,5.29
