Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,881,1372,1369,1550,1581,2584,171,3700,0.000%,14.49204,299.02,5.39
TOTAL,881,1372,1369,1550,1581,2584,171,3700,0.000%,14.49204,299.02,5.39
