Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,881,4871,4868,5392,7536,9337,199,10981,0.000%,14.13195,291.60,5.26
TOTAL,881,4871,4868,5392,7536,9337,199,10981,0.000%,14.13195,291.60,5.26
