Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,881,5605,5580,6188,9847,11702,125,12250,0.000%,14.05574,290.02,5.23
TOTAL,881,5605,5580,6188,9847,11702,125,12250,0.000%,14.05574,290.02,5.23
