Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
wordpress,870,2792,2783,2932,3147,5422,156,7268,0.000%,14.19203,292.84,5.28
TOTAL,870,2792,2783,2932,3147,5422,156,7268,0.000%,14.19203,292.84,5.28
